,City,Country,Latitude,Longitude,Temperature,Humidity,Wind Speed,Cloudiness
69,mount isa,au,-20.73,139.49,75.2,57,6.93,0
70,pisco,pe,-13.71,-76.2,77,61,9.17,0
74,atuona,pf,-9.8,-139.03,81.65,100,17.13,80
75,zhigansk,ru,66.77,123.37,-6.56,60,4.38,0
76,stromness,gb,58.97,-3.3,37.4,86,11.41,75
77,biak,id,-0.91,122.88,76.43,100,2.93,76
78,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
79,severo-kurilsk,ru,50.68,156.12,32.24,96,21.61,92
80,kaitangata,nz,-46.28,169.85,60.32,60,31.9,32
81,portel,br,-1.94,-50.82,74.45,100,3.94,92
82,katsuura,jp,33.93,134.5,51.41,82,2.15,0
83,espanola,us,47.6,-117.74,38.32,64,8.05,90
84,faanui,pf,-16.48,-151.75,81.74,100,10.2,64
85,faro,pt,37.02,-7.94,62.6,77,16.11,20
86,bredasdorp,za,-34.53,20.04,69.8,77,9.17,44
87,eyl,so,7.98,49.82,80.12,99,10.98,92
88,port alfred,za,-33.59,26.89,70.13,95,3.04,44
89,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
90,ponta do sol,cv,17.2,-25.09,69.32,100,14.67,88
91,kharp,ru,66.82,65.8,7.94,75,5.84,80
92,nichinan,jp,31.65,131.31,56.45,100,5.95,0
93,busselton,au,-33.64,115.35,64.55,100,17.47,0
94,kapaa,us,22.08,-159.32,67.82,83,6.93,1
95,yellowknife,ca,62.45,-114.38,-0.41,54,8.05,75
97,kavieng,pg,-2.57,150.8,83.09,100,9.08,8
99,east london,za,-33.02,27.91,68,94,3.36,0
100,mersing,my,2.43,103.84,77.24,95,6.62,0
101,avarua,ck,-21.21,-159.78,75.2,94,4.7,75
103,miraflores,co,5.2,-73.14,59.42,87,1.48,80
104,bredasdorp,za,-34.53,20.04,69.8,77,9.17,44
105,vaini,to,-21.2,-175.2,77,100,13.87,75
106,hithadhoo,mv,-0.6,73.08,84.71,100,5.39,56
107,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
108,batagay-alyta,ru,67.8,130.41,8.3,82,5.06,80
109,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
110,jamestown,sh,-15.94,-5.72,73.55,100,6.4,88
112,sao joao da barra,br,-21.64,-41.05,82.46,93,17.02,12
113,souillac,mu,-20.52,57.52,82.4,78,10.29,90
114,bilma,ne,18.69,12.92,81.65,17,7.18,0
115,nikolskoye,ru,59.7,30.79,33.8,59,6.71,20
116,mahebourg,mu,-20.41,57.7,82.4,78,10.29,90
117,bandarbeyla,so,9.49,50.81,81.02,100,10.2,88
119,vaini,to,-21.2,-175.2,77,100,13.87,75
121,hilo,us,19.71,-155.08,63.39,83,3.36,40
122,chokurdakh,ru,70.62,147.9,16.94,76,11.88,76
123,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
124,souillac,mu,-20.52,57.52,82.4,78,10.29,90
125,tuxpan,mx,19.56,-103.38,84.2,18,6.93,5
126,kirakira,sb,-10.46,161.92,82.19,100,9.53,92
127,dikson,ru,73.51,80.55,-8.18,65,11.21,0
128,severo-kurilsk,ru,50.68,156.12,32.24,96,21.61,92
130,rabo de peixe,pt,37.8,-25.58,59,67,21.92,20
131,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
132,tabou,ci,4.42,-7.36,81.92,100,11.43,36
133,havoysund,no,71,24.66,31.35,86,17.22,75
134,kununurra,au,-15.77,128.74,73.4,69,4.7,0
136,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
137,wawa,ca,47.99,-84.77,23,49,8.05,90
138,kommunisticheskiy,ru,61.68,64.48,31.25,88,11.65,92
139,chumikan,ru,54.72,135.31,23.42,56,14,76
140,fortuna,us,40.6,-124.16,50,71,1.14,1
142,lebu,cl,-37.62,-73.65,59.06,93,1.92,44
143,katsuura,jp,33.93,134.5,51.41,82,2.15,0
144,geghamasar,am,40.31,45.68,34.22,95,2.48,92
145,otjiwarongo,na,-20.46,16.65,66.2,72,2.24,100
146,palana,ru,59.08,159.95,32.06,81,9.19,0
148,lososina,ru,49,140.31,26.12,74,18.48,0
150,flinders,au,-34.58,150.85,59,100,1.14,75
151,jamestown,sh,-15.94,-5.72,73.55,100,6.4,88
152,lompoc,us,34.64,-120.46,54.27,93,3.36,90
153,saint-joseph,re,-21.37,55.62,80.6,78,14.99,88
155,hermanus,za,-34.42,19.24,67.34,69,5.28,8
156,muzhi,ru,65.4,64.7,20.99,85,14.79,92
157,jamestown,sh,-15.94,-5.72,73.55,100,6.4,88
158,bredasdorp,za,-34.53,20.04,69.8,77,9.17,44
159,ponta do sol,pt,32.67,-17.1,66.2,59,9.17,20
160,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
161,new norfolk,au,-42.78,147.06,59,58,5.82,75
162,cape town,za,-33.93,18.42,66.2,77,13.87,0
163,college,us,64.86,-147.8,-2.91,77,11.99,1
164,pitimbu,br,-7.47,-34.81,84.08,85,13.44,32
165,ponta do sol,pt,32.67,-17.1,66.2,59,9.17,20
166,richards bay,za,-28.77,32.06,73.91,92,4.16,92
167,port-gentil,ga,-0.72,8.78,84.2,79,10.29,20
169,dorogobuzh,ru,54.91,33.3,29.45,81,8.63,0
171,taltal,cl,-25.41,-70.49,66.98,70,3.15,0
172,yellowknife,ca,62.45,-114.38,-0.41,54,8.05,75
173,bodmin,gb,50.47,-4.72,50,81,18.34,40
174,east london,za,-33.02,27.91,68,94,3.36,0
175,robertsport,lr,6.75,-11.37,81.92,100,8.75,8
176,salinas,ec,0.49,-78.13,60.8,72,9.17,75
177,lebu,cl,-37.62,-73.65,59.06,93,1.92,44
178,provideniya,ru,64.42,-173.23,22.25,100,9.19,24
179,esperance,au,-33.86,121.89,71.84,66,13.22,0
180,dustlik,uz,40.53,68.03,54.56,83,2.71,0
181,vaini,to,-21.2,-175.2,77,100,13.87,75
182,hilo,us,19.71,-155.08,63.39,83,3.36,40
183,carnarvon,au,-24.87,113.63,81.38,88,17.81,8
185,atar,mr,20.52,-13.05,95.15,7,4.61,12
187,blythe,us,33.61,-114.59,75.2,31,4.7,1
188,butaritari,ki,3.07,172.79,81.11,100,8.3,92
189,hithadhoo,mv,-0.6,73.08,84.71,100,5.39,56
190,bredasdorp,za,-34.53,20.04,69.8,77,9.17,44
191,saint george,bm,32.38,-64.68,71.6,78,8.05,75
192,georgetown,sh,-7.93,-14.42,79.94,100,11.77,8
193,koygorodok,ru,60.44,51.01,36.38,82,12.44,32
195,carnarvon,au,-24.87,113.63,81.38,88,17.81,8
196,albany,au,-35.02,117.88,64.01,95,8.41,92
197,vaini,to,-21.2,-175.2,77,100,13.87,75
198,bredasdorp,za,-34.53,20.04,69.8,77,9.17,44
199,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
200,saint george,us,38.54,-90.31,64.9,82,18.34,90
201,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
202,buedu,sl,8.28,-10.37,90.11,48,4.72,12
203,samarai,pg,-10.62,150.67,81.74,100,8.63,56
204,bluff,nz,-46.6,168.33,59.15,93,40.85,80
205,bartica,gy,6.41,-58.62,76.88,100,2.93,80
206,morro bay,us,35.37,-120.85,54.27,87,3.36,90
207,nyurba,ru,63.29,118.35,6.77,71,3.27,48
208,nyurba,ru,63.29,118.35,6.77,71,3.27,48
209,kapaa,us,22.08,-159.32,67.82,83,6.93,1
210,kieta,pg,-6.22,155.63,78.41,99,7.07,44
211,flinders,au,-34.58,150.85,59,100,1.14,75
212,boa vista,br,2.82,-60.67,82.4,70,8.05,90
213,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
214,gijon,es,43.54,-5.66,57.2,58,19.46,75
215,hobart,au,-42.88,147.33,59,58,5.82,75
216,cape town,za,-33.93,18.42,66.2,77,13.87,0
217,jamestown,sh,-15.94,-5.72,73.55,100,6.4,88
218,laukaa,fi,62.42,25.95,26.6,68,5.82,0
219,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
220,arraial do cabo,br,-22.97,-42.02,92.21,53,9.17,20
221,busselton,au,-33.64,115.35,64.55,100,17.47,0
222,avarua,ck,-21.21,-159.78,75.2,94,4.7,75
224,ponta do sol,cv,17.2,-25.09,69.32,100,14.67,88
225,flinders,au,-34.58,150.85,59,100,1.14,75
226,henties bay,na,-22.12,14.28,67.61,91,6.4,68
227,aykhal,ru,65.95,111.51,0.2,61,3.83,32
228,port alfred,za,-33.59,26.89,70.13,95,3.04,44
230,busselton,au,-33.64,115.35,64.55,100,17.47,0
231,port alfred,za,-33.59,26.89,70.13,95,3.04,44
232,hilo,us,19.71,-155.08,63.39,83,3.36,40
233,okoneshnikovo,ru,54.84,75.08,9.11,65,2.93,0
234,victoria,sc,-4.62,55.45,82.4,78,2.24,20
236,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
237,arraial do cabo,br,-22.97,-42.02,92.21,53,9.17,20
238,bethel,us,60.79,-161.76,15.8,78,8.05,1
239,buta,cd,2.79,24.73,76.97,88,3.04,88
240,torbay,ca,47.66,-52.73,33.8,43,14.99,40
241,veinticinco de mayo,ar,-27.38,-54.75,79.67,69,4.05,68
242,dikson,ru,73.51,80.55,-8.18,65,11.21,0
245,fuyu,cn,47.79,124.46,21.17,42,8.97,0
246,husavik,is,66.04,-17.34,26.6,100,4.7,75
247,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
248,iqaluit,ca,63.75,-68.52,14,85,27.51,90
249,bridgewater,us,41.99,-70.98,42.96,71,10.2,90
250,butaritari,ki,3.07,172.79,81.11,100,8.3,92
251,altay,cn,47.83,88.13,14.69,80,3.27,64
252,puerto ayora,ec,-0.74,-90.35,84.2,62,4.7,20
253,busselton,au,-33.64,115.35,64.55,100,17.47,0
254,aksu,kz,52.04,76.93,24.8,92,6.71,0
255,kavieng,pg,-2.57,150.8,83.09,100,9.08,8
258,drumheller,ca,51.47,-112.7,14.96,100,4.61,32
259,butaritari,ki,3.07,172.79,81.11,100,8.3,92
260,hare bay,ca,48.86,-53.99,32,84,14.99,75
261,san angelo,us,31.46,-100.44,87.8,15,21.92,1
262,namibe,ao,-15.19,12.15,79.22,100,9.98,92
263,bambous virieux,mu,-20.34,57.76,82.4,78,10.29,90
264,hilo,us,19.71,-155.08,63.39,83,3.36,40
265,gimli,ca,50.63,-96.99,17.12,100,4.72,0
266,kahului,us,20.89,-156.47,72.28,94,3.36,90
267,batagay-alyta,ru,67.8,130.41,8.3,82,5.06,80
268,jamestown,sh,-15.94,-5.72,73.55,100,6.4,88
269,douentza,ml,15.01,-2.95,97.13,17,5.95,0
270,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
271,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
272,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
273,sambava,mg,-14.27,50.17,80.3,100,18.25,76
274,busselton,au,-33.64,115.35,64.55,100,17.47,0
275,thompson,ca,55.74,-97.86,8.6,42,12.75,75
276,kapaa,us,22.08,-159.32,67.82,83,6.93,1
277,kodiak,us,39.95,-94.76,35.6,93,21.92,90
278,butaritari,ki,3.07,172.79,81.11,100,8.3,92
279,mirnyy,ru,56.57,36.46,31.07,85,10.42,0
281,vanimo,pg,-2.67,141.3,84.17,97,19.15,80
283,bluff,nz,-46.6,168.33,59.15,93,40.85,80
284,busselton,au,-33.64,115.35,64.55,100,17.47,0
286,lorengau,pg,-2.02,147.27,83.99,95,11.99,44
287,butaritari,ki,3.07,172.79,81.11,100,8.3,92
288,vaini,to,-21.2,-175.2,77,100,13.87,75
289,sulangan,ph,11.14,123.72,80.75,100,10.65,64
291,sao filipe,cv,14.9,-24.5,71.48,93,14,0
292,hobart,au,-42.88,147.33,59,58,5.82,75
293,mahebourg,mu,-20.41,57.7,82.4,78,10.29,90
294,kruisfontein,za,-34,24.73,67.52,98,9.64,20
295,ponta delgada,pt,37.73,-25.67,59,67,21.92,20
296,cockburn town,bs,24.03,-74.52,75.71,98,11.21,68
297,baiyin,cn,36.55,104.13,42.8,45,4.47,40
298,kapaa,us,22.08,-159.32,67.82,83,6.93,1
299,port moresby,pg,-9.47,147.16,83.27,96,14.12,44
300,san borja,bo,-14.86,-66.75,79.04,82,2.59,56
301,kutahya,tr,39.42,29.98,44.6,52,3.36,0
302,cayenne,gf,4.94,-52.33,86,66,9.17,75
303,atuona,pf,-9.8,-139.03,81.65,100,17.13,80
304,ewa beach,us,21.32,-158.01,70.72,88,4.7,1
305,hermanus,za,-34.42,19.24,67.34,69,5.28,8
306,butaritari,ki,3.07,172.79,81.11,100,8.3,92
307,kaeo,nz,-35.1,173.78,49.25,85,2.71,12
309,kanye,bw,-24.98,25.34,63.02,86,3.71,32
310,puerto ayora,ec,-0.74,-90.35,84.2,62,4.7,20
311,busselton,au,-33.64,115.35,64.55,100,17.47,0
312,cidreira,br,-30.17,-50.22,72.47,95,5.39,100
313,grudziadz,pl,53.48,18.75,48.2,81,3.36,0
315,victoria,sc,-4.62,55.45,82.4,78,2.24,20
316,anadyr,ru,64.73,177.51,10.4,92,6.71,8
317,provideniya,ru,64.42,-173.23,22.25,100,9.19,24
318,sydney,au,-33.85,151.22,69.62,73,8.05,75
319,avarua,ck,-21.21,-159.78,75.2,94,4.7,75
320,cape town,za,-33.93,18.42,66.2,77,13.87,0
321,kapaa,us,22.08,-159.32,67.82,83,6.93,1
322,hithadhoo,mv,-0.6,73.08,84.71,100,5.39,56
324,rocha,uy,-34.48,-54.34,70.94,82,6.73,80
325,new norfolk,au,-42.78,147.06,59,58,5.82,75
326,arroyo,us,41.39,-78.88,43.99,100,6.93,90
327,porbandar,in,21.64,69.61,74.09,86,8.52,0
328,vaini,to,-21.2,-175.2,77,100,13.87,75
329,yellowknife,ca,62.45,-114.38,-0.41,54,8.05,75
330,ribeira grande,pt,38.52,-28.7,62.6,55,13.87,20
331,cooma,au,-36.24,149.13,54.38,95,3.04,80
332,lagoa,pt,37.14,-8.45,62.6,77,16.11,20
333,geraldton,au,-28.77,114.6,69.8,83,8.05,90
334,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
336,fairbanks,us,64.84,-147.72,-2.91,77,11.99,1
337,hasaki,jp,35.73,140.83,53.6,100,2.24,0
340,puerto ayora,ec,-0.74,-90.35,84.2,62,4.7,20
341,mahebourg,mu,-20.41,57.7,82.4,78,10.29,90
342,albany,au,-35.02,117.88,64.01,95,8.41,92
343,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
344,le port,re,-20.94,55.29,80.6,74,12.75,56
345,barrow,us,39.51,-90.4,58.95,88,17.22,90
346,san patricio,mx,19.22,-104.7,78.8,83,11.41,5
348,tigil,ru,57.8,158.67,27.47,83,13.22,0
350,saint george,bm,32.38,-64.68,71.6,78,8.05,75
351,lebu,cl,-37.62,-73.65,59.06,93,1.92,44
352,busselton,au,-33.64,115.35,64.55,100,17.47,0
353,cidreira,br,-30.17,-50.22,72.47,95,5.39,100
354,kapaa,us,22.08,-159.32,67.82,83,6.93,1
355,saint george,bm,32.38,-64.68,71.6,78,8.05,75
357,pisco,pe,-13.71,-76.2,77,61,9.17,0
358,kodiak,us,39.95,-94.76,35.6,93,21.92,90
359,atuona,pf,-9.8,-139.03,81.65,100,17.13,80
360,kasongo-lunda,cd,-6.48,16.82,74.99,85,2.37,92
362,upernavik,gl,72.79,-56.15,18.65,100,9.42,80
363,hilo,us,19.71,-155.08,63.39,83,3.36,40
365,pangobilian,ph,8.8,117.86,76.52,97,5.17,0
366,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
367,albany,au,-35.02,117.88,64.01,95,8.41,92
369,sterling,us,39,-77.4,48.51,81,8.05,90
370,tongliao,cn,43.61,122.27,30.53,28,13.11,0
371,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
372,gimli,ca,50.63,-96.99,17.12,100,4.72,0
373,lompoc,us,34.64,-120.46,54.27,93,3.36,90
374,hobart,au,-42.88,147.33,59,58,5.82,75
375,hithadhoo,mv,-0.6,73.08,84.71,100,5.39,56
376,coahuayana,mx,18.62,-100.35,84.35,31,2.93,8
377,cape town,za,-33.93,18.42,66.2,77,13.87,0
378,bambous virieux,mu,-20.34,57.76,82.4,78,10.29,90
380,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
381,roseburg,us,43.22,-123.34,45.63,70,0.02,40
382,zhezkazgan,kz,47.8,67.71,30.98,71,17.36,0
383,bandarbeyla,so,9.49,50.81,81.02,100,10.2,88
384,coihaique,cl,-45.58,-72.07,57.2,82,5.82,75
385,lethem,gy,3.38,-59.8,77.15,93,8.75,92
386,arlit,ne,18.74,7.39,86.51,25,3.83,92
387,bandrele,yt,-12.91,45.19,84.2,74,6.93,12
388,port alfred,za,-33.59,26.89,70.13,95,3.04,44
389,ponta do sol,cv,17.2,-25.09,69.32,100,14.67,88
390,lompoc,us,34.64,-120.46,54.27,93,3.36,90
392,passo de camaragibe,br,-9.24,-35.49,84.2,66,14.99,40
393,dunedin,nz,-45.87,170.5,58.97,52,15.79,20
394,hermanus,za,-34.42,19.24,67.34,69,5.28,8
395,eufaula,us,31.89,-85.15,79.2,57,5.82,40
396,batu gajah,my,4.47,101.04,78.8,88,2.24,75
397,bandundu,cd,-3.32,17.38,73.82,96,2.37,92
398,new norfolk,au,-42.78,147.06,59,58,5.82,75
400,peniche,pt,39.36,-9.38,57.94,82,20.8,75
401,portland,au,-33.35,149.98,55.64,95,2.37,68
402,mar del plata,ar,-46.43,-67.52,66.71,56,2.26,56
403,marsaxlokk,mt,35.84,14.54,59,82,12.75,20
405,arraial do cabo,br,-22.97,-42.02,92.21,53,9.17,20
406,albany,au,-35.02,117.88,64.01,95,8.41,92
407,ryde,gb,50.73,-1.16,50.29,81,12.75,40
409,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
411,constitucion,mx,23.99,-104.67,69.8,9,10.29,5
412,caravelas,br,-17.73,-39.27,81.47,100,12.44,0
413,torbay,ca,47.66,-52.73,33.8,43,14.99,40
414,arraial do cabo,br,-22.97,-42.02,92.21,53,9.17,20
415,avarua,ck,-21.21,-159.78,75.2,94,4.7,75
416,provideniya,ru,64.42,-173.23,22.25,100,9.19,24
417,thaba-tseka,ls,-29.52,28.61,50.24,99,1.7,92
418,lazaro cardenas,mx,28.39,-105.62,71.6,24,5.61,75
419,cape town,za,-33.93,18.42,66.2,77,13.87,0
420,hithadhoo,mv,-0.6,73.08,84.71,100,5.39,56
421,kahului,us,20.89,-156.47,72.28,94,3.36,90
422,coquimbo,cl,-29.95,-71.34,66.2,63,12.75,0
424,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
425,kaitangata,nz,-46.28,169.85,60.32,60,31.9,32
426,mar del plata,ar,-46.43,-67.52,66.71,56,2.26,56
427,castro,cl,-42.48,-73.76,58.88,95,12.21,92
429,touros,br,-5.2,-35.46,85.07,76,15.57,56
430,port elizabeth,za,-33.92,25.57,68,88,3.36,90
431,tullahoma,us,35.36,-86.21,75.2,57,19.46,75
432,narsaq,gl,60.91,-46.05,41,38,9.17,75
433,locri,it,38.24,16.26,59,87,12.75,40
434,bethel,us,60.79,-161.76,15.8,78,8.05,1
435,hilo,us,19.71,-155.08,63.39,83,3.36,40
436,salalah,om,17.01,54.1,80.6,78,4.7,20
437,hilo,us,19.71,-155.08,63.39,83,3.36,40
438,punta arenas,cl,-53.16,-70.91,46.4,65,12.75,40
439,solnechnyy,ru,50.72,136.64,24.5,61,10.76,56
440,anadyr,ru,64.73,177.51,10.4,92,6.71,8
441,saurimo,ao,-9.66,20.4,69.32,95,3.15,36
442,pevek,ru,69.7,170.27,22.16,61,8.63,0
443,vaini,to,-21.2,-175.2,77,100,13.87,75
444,kapaa,us,22.08,-159.32,67.82,83,6.93,1
445,shubarkuduk,kz,49.15,56.49,38.54,57,17.25,0
446,quatre cocos,mu,-20.21,57.76,82.4,78,10.29,90
447,entre rios,bo,-21.53,-64.17,73.4,46,9.17,40
448,basti,in,26.79,82.72,75.62,62,2.93,12
449,lebu,cl,-37.62,-73.65,59.06,93,1.92,44
450,ossora,ru,59.24,163.07,31.61,95,14.45,88
451,tevaitoa,pf,-16.78,-151.5,80.3,100,8.08,92
452,bluff,nz,-46.6,168.33,59.15,93,40.85,80
453,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
455,albany,au,-35.02,117.88,64.01,95,8.41,92
456,mahebourg,mu,-20.41,57.7,82.4,78,10.29,90
457,srednekolymsk,ru,67.46,153.71,27.65,93,5.61,0
458,cape town,za,-33.93,18.42,66.2,77,13.87,0
459,greece,us,43.21,-77.69,39.07,93,8.05,90
460,torbay,ca,47.66,-52.73,33.8,43,14.99,40
461,wismar,de,53.89,11.46,52.84,67,4.7,0
462,fortuna,us,40.6,-124.16,50,71,1.14,1
463,gizo,sb,-8.1,156.84,84.53,100,12.33,8
464,coruripe,br,-10.12,-36.18,82.64,92,11.65,0
465,ushuaia,ar,-54.81,-68.31,41,86,25.28,75
466,pinhao,br,-25.7,-51.66,74.54,65,3.04,0
467,guerrero negro,mx,27.97,-114.04,63.2,73,9.86,12
468,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
469,mareeba,au,-16.99,145.42,73.4,83,4.94,0
471,klaksvik,fo,62.23,-6.59,32,100,6.93,0
472,pedasi,pa,7.53,-80.03,76.97,94,9.08,0
473,cape town,za,-33.93,18.42,66.2,77,13.87,0
474,the valley,ai,18.22,-63.06,82.49,69,10.29,20
475,keita,ne,14.76,5.77,102.2,5,9.17,0
476,atuona,pf,-9.8,-139.03,81.65,100,17.13,80
477,sao felix do xingu,br,-6.64,-51.99,79.31,89,3.27,24
479,cape town,za,-33.93,18.42,66.2,77,13.87,0
481,port alfred,za,-33.59,26.89,70.13,95,3.04,44
482,san ignacio,bz,17.16,-89.07,90.83,45,6.62,0
483,nikolskoye,ru,59.7,30.79,33.8,59,6.71,20
484,zhuhai,cn,40.71,112.04,30.2,74,6.71,0
485,stornoway,gb,58.21,-6.39,37.4,93,13.87,75
486,hualmay,pe,-11.1,-77.61,75.62,73,5.28,8
487,tasiilaq,gl,65.61,-37.64,23,73,17.22,90
488,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
490,nova vicosa,br,-17.89,-39.37,88.94,62,9.64,0
492,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
493,little current,ca,45.98,-81.93,33.8,80,13.87,90
494,rikitea,pf,-23.12,-134.97,79.67,100,11.54,64
495,shelburne,ca,44.08,-80.2,40.37,44,12.75,90
496,perevolotskiy,ru,51.88,54.19,35.39,89,14.79,0
497,smidovich,ru,48.6,133.81,25.13,36,10.09,0
498,yellowknife,ca,62.45,-114.38,-0.41,54,8.05,75
500,kiunga,pg,-6.12,141.3,73.91,92,3.15,92
501,ribeira grande,pt,38.52,-28.7,62.6,55,13.87,20
502,lompoc,us,34.64,-120.46,54.27,93,3.36,90
503,atuona,pf,-9.8,-139.03,81.65,100,17.13,80
504,georgetown,sh,-7.93,-14.42,79.94,100,11.77,8
505,hithadhoo,mv,-0.6,73.08,84.71,100,5.39,56
507,liaoyang,cn,41.27,123.17,35.6,21,8.95,0
508,busselton,au,-33.64,115.35,64.55,100,17.47,0
509,grand gaube,mu,-20.01,57.66,82.4,78,10.29,90
510,tura,ru,64.27,100.22,9.2,75,2.15,76
511,hithadhoo,mv,-0.6,73.08,84.71,100,5.39,56
512,esperance,au,-33.86,121.89,71.84,66,13.22,0
513,guerrero negro,mx,27.97,-114.04,63.2,73,9.86,12
514,cape town,za,-33.93,18.42,66.2,77,13.87,0
515,puerto ayora,ec,-0.74,-90.35,84.2,62,4.7,20
516,vaini,to,-21.2,-175.2,77,100,13.87,75
517,tornio,fi,61.12,27.27,28.29,65,9.17,0
518,nemuro,jp,43.32,145.57,37.46,91,5.95,92
519,busselton,au,-33.64,115.35,64.55,100,17.47,0
520,sao filipe,cv,14.9,-24.5,71.48,93,14,0
521,dzaoudzi,yt,-12.79,45.27,84.2,74,6.93,32
